name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,ranks/rank,owned,averageweight,numweights
Tigris & Euphrates,1997,2,4,90,90,90,12,22262,7.71522,7.57416,70,24736,3.5276,2519
Lost Cities,1999,2,2,30,30,30,10,30260,7.15166,7.05913,296,40069,1.5099,2722
Ra,1999,2,5,60,45,60,12,16816,7.47471,7.33737,133,15965,2.3524,1700
Lord of the Rings,2000,2,5,90,60,90,12,12711,6.76812,6.63186,717,19951,2.5714,1246
Samurai,1998,2,4,60,30,60,10,12970,7.44062,7.26325,177,13047,2.5022,1388
Battle Line,2000,2,2,30,30,30,12,13510,7.41942,7.24675,185,16589,1.9056,1102
Modern Art,1992,3,5,45,45,45,10,13302,7.34739,7.182,224,15114,2.3162,1306
Ingenious,2004,1,4,45,45,45,10,13932,7.15027,7.00673,339,15867,1.9261,1326
Through the Desert,1998,2,5,45,45,45,10,11355,7.05482,6.90132,438,11875,2.2125,1341
Blue Moon,2004,2,2,30,30,30,12,5203,6.7245,6.48724,908,6604,2.1726,585
Amun-Re,2003,3,5,90,90,90,12,7803,7.34425,7.09778,266,8260,3.0726,881
Taj Mahal,2000,3,5,100,75,100,12,6496,7.3134,7.02764,319,7202,2.996,751
Lord of the Rings: The Confrontation,2002,2,2,30,30,30,12,6128,7.20736,6.91227,425,7185,2.1941,649
Blue Moon City,2006,2,4,60,60,60,10,6974,7.05432,6.82211,518,6521,2.3002,826
Medici,1995,2,6,60,60,60,10,6316,7.14927,6.88322,453,6591,2.2705,562
Lord of the Rings: The Confrontation,2005,2,2,30,30,30,14,4979,7.49361,7.10009,264,6151,2.1963,438
Carcassonne: The Castle,2003,2,2,30,30,30,8,6790,7.08744,6.82693,511,9878,1.9857,700
Keltis,2008,2,4,30,30,30,10,4831,6.43729,6.24247,1387,5643,1.6552,406
Dream Factory,2000,2,5,60,60,60,10,4590,7.06159,6.74503,601,4741,2.1159,509
Kingdoms,1994,2,4,45,45,45,9,4297,6.6385,6.38904,1070,5584,1.8321,399
Colossal Arena,1997,2,5,60,60,60,8,6590,6.78626,6.58105,777,8099,2.018,722
Winner's Circle,2001,2,6,60,45,60,10,4466,6.96811,6.65359,687,4355,1.6084,498
Schotten Totten,1999,2,2,20,20,20,8,5097,7.31642,6.97396,365,7480,1.7286,339
Loot,1992,2,8,20,20,20,10,5268,6.30271,6.13704,1654,9206,1.3852,540
The Quest for El Dorado,2017,2,4,60,30,60,10,3366,7.54525,7.00718,338,5761,2.0225,89
High Society,1995,3,5,30,15,30,10,5313,6.85656,6.60836,748,6707,1.5305,492
Pickomino,2005,2,7,20,20,20,8,7359,6.54644,6.3817,1086,10173,1.1526,701
Star Trek: Expeditions,2011,1,4,60,60,60,14,1389,6.50704,6.02277,2028,2496,2.4118,119
Lost Cities: The Board Game,2008,2,4,60,30,60,8,3175,6.80953,6.45186,967,4447,1.7514,177
Blue Moon Legends,2014,2,2,30,30,30,14,1416,7.34782,6.49297,Not Ranked,3297,2.3016,63
Stephenson's Rocket,1999,2,4,60,60,60,12,2174,6.86743,6.40001,1056,2748,3.1164,232
Age of War,2014,2,6,30,15,30,14,4621,6.43229,6.20296,1483,6979,1.1237,194
The Hobbit,2010,2,5,45,30,45,8,1444,6.02345,5.76856,3416,3013,1.7094,117
Beowulf: The Legend,2005,2,5,60,60,60,12,2159,6.37994,6.06076,1890,2755,2.2418,306
Friday the 13th,2005,3,6,30,30,30,8,3527,6.45572,6.20556,1478,4350,1.1984,383
Ra: The Dice Game,2009,2,4,45,45,45,10,2286,6.76601,6.35189,1137,2105,1.7418,213
Tower of Babel,2005,3,5,45,45,45,10,2196,6.65356,6.25526,1351,2526,2.3389,298
Wildlife Safari,1994,2,5,30,20,30,7,2612,6.61797,6.27218,1327,3125,1.2948,268
En Garde,1993,2,2,30,30,30,8,1454,6.49047,6.04743,1941,1916,1.4103,117
Palazzo,2005,2,4,60,60,60,10,2301,6.55426,6.1985,1495,3045,2.0667,345
FITS,2009,1,4,45,45,45,8,2817,6.60087,6.28537,1306,2984,1.3923,209
Prosperity,2013,2,4,60,60,60,13,1379,6.76949,6.18768,1522,2251,2.5521,96
Quo Vadis?,1992,3,5,45,45,45,12,2001,6.4471,6.10113,1769,2624,2.0725,193
Risk Express,2006,2,6,20,20,20,8,942,6.27805,5.84708,2862,1127,1.1652,115
Money!,1999,3,5,30,30,30,10,2524,6.54977,6.21654,1463,3407,1.5502,209
Indigo,2012,2,4,30,30,30,8,2301,6.87481,6.40461,1046,3483,1.5,138
